留言內容,答案
 蝗蟲,1
 支那人最愛到外國討民主,1
 ㄏㄏ,1
 支那跟英國討論民主???,1
 以為在演倫敦蒙難記逆？？？？？,1
        新八國聯軍要上演了嗎？ 哈哈哈,0
 以前英國人在中國土地殺人會被中國警,0
 察釋放，現在英國小孬孬,1
 智障中國人,1
 支那妓者 支那水準,1
 鬧完瑞典換英國囉,0
 支那人說人沒民主 他們知道民主怎寫嗎,1
 支那賤畜就是垃圾低賤種族,1
 嗆中國人英國沒有民主??!!   笑死XDDDD,0
 屌打英國人，厲害了我的國,1
 垃圾支那人,1
 支那賤畜就該待在牆內別出來禍害人世,1
 言論自由不是這麼用的，啊！我忘了中國沒有,1
 低能 本來做完筆錄就放人了又不是大罪,1
 台女不意外,1
 等等，我懂了，她是不是根本就搞錯國,0
 中國肉便器嗆英國沒有民主??!!   笑死,1
 綠畜台巴子崩潰真好笑,1
 體跟政體==,0
 濫用他國的自由罵他國,0
 ...中國或成最大贏家？,1
 好想看Kina高潮言論 XDD,1
 跟籠子裡的鳥談飛,0
 最好玩的是英國已經把人釋放了~,0
 然後中國說~英國已經屈服了,0
 用這記者的方式 在中國問問題和表達意見,0
 好了啦,0
 紅衛兵出國比賽,0
 可悲可笑支那人 只敢在國外撒野,1
 會發生什麼事呢,0
 看來英國人還不懂得如何和中國打交道過手,0
 民主國家做完筆錄釋放不是很正常嗎 支那都,0
 人限制出境了嗎?,0
 直接關進大牢,0
 文化大革命的味道越來越濃厚了,0
 人家是民主國家，我看在中國已經不知道開幾,0
 范冰冰表示:,0
 門了,0
 77777777 你們沒有民主,0
 支那狗畜講民主?,1
 87賤畜==,1
 seuil 但是他的對手是中國啊,0
 英國有民主，但中國人則無。,0
 從沒擁有過的東西要他們怎麼懂呢？,0
 厲害了,0
 而且其實可以拘留吧,0
 支那懂民主?,1
 被共產黨洗腦洗到腦子都壞了,1
 英國果然被打懵了 XDDD,1
 勿忘64天安門戰車絞肉機,1
 中國現在要塑造的就是全球他都能伸手施壓,0
 又沒羈押當然釋放，難道直接抓起來關,0
 那你英國還在那邊配合中國的腳本?,0
 嗎,0
 是英國不了解那個是黨中國，不是以前的那,0
 個清國，而且那個黨中國跟老蔣那個中國是,0
 中國人認知大概被官方壓走 就是跟范冰冰一,0
 一樣的性子，也是英國最恨的,0
 樣吧,0
 講言論自由 那你管人家會議講什麼,0
